Timestamp,SF_Product_Name,BU,Revenue,Quantity,Open_Opportunities,New_Quotes,Revenue_new_orders,Quantity_new_orders
1/1/2022,Air/Vac - Comp P21,D200,9222,3,3,2,6222,2
1/1/2022,Air/Vac - Comp P22,D200,161715,52,3,1,155602,50
1/1/2022,Air/Vac - Comp P32,D200,254372,60,54,4,21570,5
1/1/2022,Air/Vac - Comp P52,D200,485137,95,70,8,41414,8
1/1/2022,Air/Vac - Comp P72,D200,550668,82,55,7,54554,8
1/1/2022,Air/Vac - GV G10,D200,251504,18,17,3,42593,3
1/1/2022,Air/Vac - GV G14,D200,134658,9,8,0,0,0
1/1/2022,Air/Vac - GV G3,D200,258575,38,34,4,27713,4
1/1/2022,Air/Vac - GV G5,D200,357264,44,36,4,41267,5
1/1/2022,Air/Vac - GV G6,D200,61521,5,5,2,24965,2
1/1/2022,Air/Vac - GV G7,D200,302930,32,30,3,29047,3
1/1/2022,Air/Vac - PV P10,D200,70608,6,2,0,0,0
1/1/2022,Air/Vac - PV P3,D200,384087,68,15,1,283309,50
1/1/2022,Air/Vac - PV P5,D200,78509,11,11,2,14462,2
1/1/2022,Air/Vac - PV P6,D200,146661,14,3,0,0,0
1/1/2022,Air/Vac - PV P7,D200,78118,9,7,2,35279,4
1/1/2022,Air/Vac - WR CV10R,D200,10338,3,3,1,3487,1
1/1/2022,Air/Vac - WR CV5,D200,3404,2,2,0,0,0
1/1/2022,Air/Vac - WR CV5R,D200,5886,3,3,1,1962,1
1/1/2022,Air/Vac - WR CV6,D200,2827,1,1,0,0,0
1/1/2022,Air/Vac - WR CV6R,D200,53185,19,11,1,3339,1
1/1/2022,Asepsis 21 Doctor’s Cart- 153740-002,D200,7032,3,1,0,0,0
1/1/2022,Asepsis 21 Duo Cart- 153740-003,D200,30516,10,4,2,24501,8
1/1/2022,Asepsis 21 International Instrument Delivery Systems,D200,33012,9,3,0,0,0
1/1/2022,Asepsis 21 Rear Delivery- KSRD-CM / CMA,D200,50992,24,5,0,0,0
1/1/2022,Asepsis 21 Traditional Instrument Delivery- 153600-010/ 011,D200,2310980,658,93,12,871846,241
1/1/2022,Assist Arms (9A615001),D100,0,60,1,0,0,0
1/1/2022,Cabinetry - Animal Health,D300,15451603,216786,208,23,1646545,23
1/1/2022,Casework - Medical,D100,43735622,164012,467,27,1397937,27
1/1/2022,Client Side Chair,D300,31702,108,8,0,0,0
1/1/2022,CMDT-60,D300,75929,9,8,0,0,0
1/1/2022,CMDT-WS-45,D300,10016,1,1,0,0,0
1/1/2022,CMDT-WS-60,D300,40702,4,4,0,0,0
1/1/2022,CMWO,D300,22583,4,2,0,0,0
1/1/2022,CMWS,D300,144503,21,12,0,0,0
1/1/2022,Containment Installation,D300,103152,5,5,1,58000,1
1/1/2022,C-STAT5,D300,50117,28,19,6,12591,7
1/1/2022,DC Generator - All Models,D300,4356,1,1,0,0,0
1/1/2022,Dental Casework - Artizan Expressions Operatory,D200,9413793,763,205,16,715714,36
1/1/2022,Dental Casework - Synthesis Operatory,D200,9494406,40591,228,31,1645762,155
1/1/2022,Dental Lighting - 255,D200,69402,29,6,1,2460,1
1/1/2022,Dental Operators Stool,D300,500,1,1,0,0,0
1/1/2022,Dental Stools - Assistant's,D200,637830,1222,199,23,95914,181
1/1/2022,Dental Stools - Dentist's,D200,577781,1324,211,22,76251,171
1/1/2022,Elevance Chair Only- 153810-001,D200,1279419,191,34,7,216496,32
1/1/2022,Elevance Console Chair- 153810-002,D200,91338,14,3,0,0,0
1/1/2022,Elevance Continental- 153800-020/021,D200,174777,18,7,1,29421,3
1/1/2022,Elevance LR Chair- 153810-003,D200,4004213,601,99,12,399165,59
1/1/2022,Flat Top Surgery Table - All Models,D300,19936,9,6,0,0,0
1/1/2022,Flooring,D300,7406318,157,157,8,524840,8
1/1/2022,Halogen- Console Mount for Procenter Unit- 153818-004 /153818-005,D200,177216,140,1,1,177216,140
1/1/2022,Halogen- LR for Procenter Unit- 153818-003,D200,19126,12,3,2,16034,10
1/1/2022,Halogen- Wall Mounted Light,D200,6316,3,1,0,0,0
1/1/2022,HEINE BP G5 - M-000-09-230-166,D100,1450,34,2,0,0,0
1/1/2022,HEINE BP XXL - M-000-09-323-166,D100,1336,8,1,0,0,0
1/1/2022,HEINE Desktop - A-832-23-420-166,D100,21789,24,2,0,0,0
1/1/2022,HEINE Desktop - A-832-24-420-166,D100,32098,31,3,1,11658,11
1/1/2022,HEINE Desktop - A-853-23-420-166,D100,9758,10,1,0,0,0
1/1/2022,HEINE Desktop - A-853-24-420-166,D100,464324,466,20,1,59364,58
1/1/2022,HEINE Desktop - A-879-23-420-166,D100,16989,21,2,0,0,0
1/1/2022,HEINE System - A‐095-12-930‐166,D100,837009,784,24,0,0,0
1/1/2022,HEINE System - A‐095-12‐931‐166,D100,407742,476,15,0,0,0
1/1/2022,HEINE System - A‐095-12-932‐166,D100,144200,175,4,0,0,0
1/1/2022,HEINE Wall - A-095-12-204-166,D100,254001,343,18,0,0,0
1/1/2022,HEINE Wall - A-095-12-205-166,D100,22214,29,2,0,0,0
1/1/2022,HEINE Wall - A-095-12-208-166,D100,814631,944,46,2,5339,6
1/1/2022,HEINE Wall - A-095-12-209-166,D100,254888,302,7,0,0,0
1/1/2022,HEINE Wall - A-095-12-210,D100,75436,112,3,0,0,0
1/1/2022,Imaging - EOIS 2D  w/Ceph,D200,34947,1,1,1,34947,1
1/1/2022,Imaging - EOIS 2D Pan,D200,98222,5,5,0,0,0
1/1/2022,Imaging - Preva,D200,1776004,557,108,10,198058,61
1/1/2022,Imaging - Preva Plus,D200,367886,41,4,0,0,0
1/1/2022,Imaging - Sensor,D200,112422,17,6,0,0,0
1/1/2022,Instrument Processing - M11,D100,301179,77,49,2,23980,6
1/1/2022,Instrument Processing - M11,D200,1216735,302,160,25,311735,78
1/1/2022,Instrument Processing - M3,D200,93387,26,22,1,3657,1
1/1/2022,Instrument Processing - M9,D100,226925,120,15,0,0,0
1/1/2022,Instrument Processing - M9,D200,465963,134,12,2,409574,119
1/1/2022,IQecg - 4 000 0062,D100,1937051,520,80,8,146196,38
1/1/2022,IQvitals - 4 000 0500,D100,312067,183,8,0,0,0
1/1/2022,IQvitals - 4 000 0510,D100,7114219,2624,119,7,44815,16
1/1/2022,IQvitals - 4 000 0622,D100,8692,4,1,0,0,0
1/1/2022,IQvitals - 4 000 0624,D100,517317,146,9,0,0,0
1/1/2022,IQvitals - 4 000 0722,D100,363079,96,2,0,0,0
1/1/2022,IQvitals - 4 000 0724,D100,2225528,550,36,0,0,0
1/1/2022,IQVitals All Mount (3-009-0063),D100,0,261,6,0,0,0
1/1/2022,IQVitals Mobile Cart - 3 004 2000,D100,14559,45,3,1,670,2
1/1/2022,LED- Cabinet Mounted Light- CBML-L,D200,152050,68,11,1,13580,6
1/1/2022,LED- Ceiling Mounted Light- CEML-L,D200,747026,320,51,9,135481,57
1/1/2022,LED- Elevance LR Light- 153901-002 / 007,D200,87985,42,9,2,6366,3
1/1/2022,LED- Elevance- Procenter LR Light- 153901-003 / 008,D200,62686,31,5,1,10228,5
1/1/2022,LED- Track Mounted Light TRML-L,D200,766425,272,39,2,48746,17
1/1/2022,LED- Ultra Console Light,D200,32225,15,3,0,0,0
1/1/2022,LED- Ultra LR Light- 153915-002 / 004,D200,580306,321,48,8,162466,89
1/1/2022,LED- Wall Mounted Light- WAML-L,D200,283323,124,19,1,18524,8
1/1/2022,Lift Tables - All Models,D300,131868,37,26,4,26096,7
1/1/2022,LoFlo,D300,1741,1,1,0,0,0
1/1/2022,M11-043,D300,125859,30,26,2,8496,2
1/1/2022,M2,D100,527158,560,14,4,79965,84
1/1/2022,M4,D100,1501994,1460,31,1,52887,50
1/1/2022,M5,D100,426471,369,4,0,0,0
1/1/2022,Manual Stool,D300,1217,11,2,0,0,0
1/1/2022,MDS Services,D100,1121905,43,43,11,282312,11
1/1/2022,MDS Services,D300,353314,9,9,2,104592,2
1/1/2022,Midmark Complete - All Models,D300,417949,32,27,1,13216,1
1/1/2022,Midmark Digital Spirometer - USB version,D100,463203,211,12,0,0,0
1/1/2022,Mobile True Definition Scanner,D200,25656,2,2,0,0,0
1/1/2022,MVP-1-Comfort,D200,39600,6,1,0,0,0
1/1/2022,MVP-1-Comfort-LED,D200,215696,26,4,0,0,0
1/1/2022,MVP-1-Trim,D200,56000,7,1,0,0,0
1/1/2022,MVP-1-Trim-LED,D200,419544,51,7,0,0,0
1/1/2022,MVP-2-Comfort-LED,D200,139848,17,2,0,0,0
1/1/2022,MVP-2-Trim-LED,D200,91256,11,2,0,0,0
1/1/2022,MVP-3-Trim-LED,D200,64000,8,1,0,0,0
1/1/2022,Patient Support Rails + (9A600002),D100,72100,621,13,2,0,139
1/1/2022,Pivoting Work Surface and Asst Unit- 153659-004,D200,486215,279,43,5,58780,33
1/1/2022,Pivoting Work Surface Only- 153659-003,D200,16147,19,5,0,0,0
1/1/2022,"Pivoting Work Surface, Assistant’s Unit and Procenter-153659-002",D200,1321255,356,53,9,195461,52
1/1/2022,PM-4,D200,6673,1,1,0,0,0
1/1/2022,"Procenter Assistant's Unit, Console and Cuspidors",D200,113766,183,41,0,0,0
1/1/2022,Procenter LR or Console- 153600-001/002/003/020/021,D200,4648008,880,148,14,377416,70
1/1/2022,Procenter Wall/ Side Cabinet Units- 153678,D200,276768,56,11,0,0,0
1/1/2022,prod_18605,D200,30792,8,2,0,0,0
1/1/2022,prod_18606,D200,360371,99,8,1,31902,7
1/1/2022,Quick Clean - QC1-001,D300,3976,5,5,1,797,1
1/1/2022,Quick Clean - QC3-001,D100,14809,10,9,0,0,0
1/1/2022,Quick Clean - QC3-001,D200,122779,88,71,14,19773,14
1/1/2022,Quick Clean - QC3-001,D300,19557,14,11,1,1412,1
1/1/2022,Quick Clean - QC3R-001,D100,4648,3,3,0,0,0
1/1/2022,Quick Clean - QC3R-001,D200,24472,16,11,1,1568,1
1/1/2022,Quick Clean - QC3R-001,D300,4648,3,3,1,1568,1
1/1/2022,Quick Clean - QC6-001,D100,2060,1,1,0,0,0
1/1/2022,Quick Clean - QC6-001,D200,37614,18,17,2,4272,2
1/1/2022,Quick Clean - QC6-001,D300,10488,5,5,0,0,0
1/1/2022,Quick Clean - QC6R-001,D200,34621,11,5,0,0,0
1/1/2022,Quick Clean - QC6R-001,D300,3189,1,1,0,0,0
1/1/2022,Quiet Cottages - All Models,D300,455267,106,20,3,54380,15
1/1/2022,Raintree - All Models,D300,854475,161,27,5,195541,36
1/1/2022,Sani-Kennels - All Models,D300,10687128,4347,124,17,1165280,468
1/1/2022,Scavenger,D300,10852,10,10,1,1018,1
1/1/2022,Seating Carthage - All Models,D300,1510,2,1,0,0,0
1/1/2022,Software,D100,50793,178,10,0,0,0
1/1/2022,Software - IQ Path Citrix,D100,135153,237,10,0,0,0
1/1/2022,Software - IQIE,D100,105185,21,2,0,0,0
1/1/2022,Stainless Steel Cages - All Models,D300,1458846,2592,115,16,175867,356
1/1/2022,Stainless Steel Kennels - All Models,D300,2900833,919,97,13,499199,174
1/1/2022,Stainless Steel Tubs - All Models,D300,93803,41,23,1,2330,1
1/1/2022,Ultra-Base - All Models,D300,562692,186,11,1,6195,2
1/1/2022,UltraComfort Chair Only- 153592-001,D200,270127,72,12,1,11541,3
1/1/2022,UltraComfort Console Chair- 153592-002,D200,670459,140,1,1,670459,140
1/1/2022,UltraComfort LR Chair- 153592-003,D200,302035,64,17,3,58255,12
1/1/2022,UltraTrim Chair Only- 153758-001,D200,568884,135,28,2,55814,13
1/1/2022,UltraTrim Console Chair- 153758-002,D200,310257,76,9,1,206639,50
1/1/2022,UltraTrim LR Chair- 153758-003,D200,3785176,788,129,11,342070,70
1/1/2022,Units - Assistant - Elevance,D200,128445,17,3,3,128445,17
1/1/2022,V8101 EOIS 3D Small,D200,43775,1,1,0,0,0
1/1/2022,V8201 EOIS 3D Medium,D200,161478,3,3,0,0,0
1/1/2022,Vaporizer,D300,55760,56,19,2,5019,5
1/1/2022,Ventilator,D300,19348,5,2,0,0,0
1/1/2022,VF-5,D300,1304,4,1,0,0,0
1/1/2022,VME2,D300,1523,1,1,0,0,0
1/1/2022,VMS,D300,93719,43,8,1,4465,2
1/1/2022,VMS Plus,D300,99928,43,15,1,4714,2
1/1/2022,V-Top Surgery Table - All Models,D300,191202,71,40,6,22988,8
1/1/2022,Work Station Power Mount (PMXX),D100,107700,331,11,0,0,0
1/1/2022,Zone Mobile Cart - 2 200 0072,D100,118592,421,12,0,0,0
1/1/2022,Zone Wall Mount - 2 200 0082,D100,7566,13,1,0,0,0
2/1/2022,002-10064-00,D100,0,39,3,0,0,0
2/1/2022,002-1895-00,D300,51651,28,5,0,0,0
2/1/2022,1-100-1603,D100,0,31,4,1,0,10
2/1/2022,120/130 Lights - All Models,D300,77691,32,11,1,2984,1
2/1/2022,203,D100,50150,52,5,0,0,0
2/1/2022,204,D100,3089893,2792,176,26,420801,413
2/1/2022,204,D200,1929,2,1,1,1929,2
2/1/2022,224,D100,6048060,1639,142,27,1034980,267
2/1/2022,225,D100,13371242,2777,134,18,2146298,430
2/1/2022,230,D100,1587976,201,53,12,633243,77
2/1/2022,244,D100,848204,107,14,2,32466,4
2/1/2022,250 - Medical,D100,2799,10,2,0,0,0
2/1/2022,250 Exam Light,D300,1464,5,1,0,0,0
2/1/2022,253 - Medical,D100,1458730,1711,89,8,160253,170
2/1/2022,255 - Medical,D100,1099942,489,63,7,60702,26
2/1/2022,255 LED Procedure Light,D300,270782,89,26,3,99974,32
2/1/2022,270,D100,5959,61,11,3,1969,19
2/1/2022,271,D100,34848,235,1,0,0,0
2/1/2022,272,D100,705271,5278,228,33,82025,583
2/1/2022,273,D100,269413,1499,55,5,83133,443
2/1/2022,274,D100,42603,195,12,2,2240,10
2/1/2022,275,D100,3300,11,2,0,0,0
2/1/2022,276,D100,624224,1624,44,7,35123,87
2/1/2022,277,D100,221107,440,14,4,43110,82
2/1/2022,278,D100,5551,7,1,0,0,0
2/1/2022,279,D100,31650,50,1,0,0,0
2/1/2022,280,D100,894244,3795,150,21,107034,393
2/1/2022,281,D100,10957,19,8,4,4832,8
2/1/2022,282,D100,228183,784,29,5,15055,40
2/1/2022,4-000-0028,D100,1073089,438,38,9,37755,15
2/1/2022,425,D100,46963,112,4,0,0,0
2/1/2022,427,D100,9775,14,1,1,9775,14
2/1/2022,5860,D300,323612,157,30,5,33146,15
2/1/2022,6211,D100,28590,30,1,0,0,0
2/1/2022,6212,D100,3717147,3376,65,3,144630,122
2/1/2022,6212,D200,1132,1,1,0,0,0
2/1/2022,6213,D100,1034920,816,29,3,175877,60
2/1/2022,6214,D100,341849,435,48,11,43393,55
2/1/2022,6215,D100,1744005,2217,103,10,148196,179
2/1/2022,6217,D100,92531,98,3,1,8134,8
2/1/2022,6218,D100,63835,85,2,1,4075,5
2/1/2022,6219,D100,104191,99,6,3,14163,13
2/1/2022,626 Non Scale Wired,D100,17900047,3162,134,12,692564,116
2/1/2022,626 Non Scale Wired,D200,37338,6,1,1,37338,6
2/1/2022,626 Scale Wired,D100,9669397,1305,32,4,232006,31
2/1/2022,626 Scale Wireless,D100,27871283,3851,188,18,822373,108
2/1/2022,6281,D100,27154,32,2,0,0,0
2/1/2022,6282,D100,984108,1128,18,1,28211,30
2/1/2022,6282,D200,1788,2,1,0,0,0
2/1/2022,6282,D300,5410,6,2,0,0,0
2/1/2022,630,D100,7536834,787,134,20,996606,99
2/1/2022,640,D100,86229,39,5,0,0,0
2/1/2022,641,D100,1708498,170,38,6,378188,37
2/1/2022,641- Standard,D200,327624,37,12,4,105074,11
2/1/2022,641- With Rotation,D200,193070,18,9,1,10855,1
2/1/2022,646,D100,30804,6,1,0,0,0
2/1/2022,647,D100,744983,113,24,1,13425,2
2/1/2022,680,D100,654,3,1,0,0,0
2/1/2022,8000-008,D300,14704,2,2,0,0,0
2/1/2022,8000-008S,D300,236966,33,24,3,30189,4
2/1/2022,8012,D300,386330,497,98,13,49462,61
2/1/2022,8015,D300,7998,3,2,1,2666,1
2/1/2022,8019,D300,511676,106,26,3,77046,15
2/1/2022,95,D100,60271,120,7,0,0,0
2/1/2022,Air Lift Stool,D300,11129,55,6,0,0,0
2/1/2022,Air/Vac - Comp P21,D200,9222,3,3,0,0,0
2/1/2022,Air/Vac - Comp P22,D200,162306,52,3,1,3703,1
2/1/2022,Air/Vac - Comp P32,D200,255238,59,53,10,47183,10
2/1/2022,Air/Vac - Comp P52,D200,541271,104,77,19,137482,25
2/1/2022,Air/Vac - Comp P72,D200,621589,91,60,16,245289,35
2/1/2022,Air/Vac - GV G10,D200,270472,19,19,3,46856,3
2/1/2022,Air/Vac - GV G14,D200,104429,7,6,0,0,0
2/1/2022,Air/Vac - GV G3,D200,248027,36,32,7,77757,11
2/1/2022,Air/Vac - GV G5,D200,437837,53,40,10,128370,15
2/1/2022,Air/Vac - GV G6,D200,86486,7,7,2,24965,2
2/1/2022,Air/Vac - GV G7,D200,385083,40,37,10,109323,11
2/1/2022,Air/Vac - PV P10,D200,70608,6,2,1,59192,5
2/1/2022,Air/Vac - PV P3,D200,398632,70,17,7,42877,7
2/1/2022,Air/Vac - PV P5,D200,58189,8,8,1,8346,1
2/1/2022,Air/Vac - PV P6,D200,192469,18,7,5,108663,10
2/1/2022,Air/Vac - PV P7,D200,88224,10,8,1,10105,1
2/1/2022,Air/Vac - WR CV10,D200,3573,1,1,1,3573,1
2/1/2022,Air/Vac - WR CV10R,D200,14412,4,4,1,4074,1
2/1/2022,Air/Vac - WR CV5,D200,3404,2,2,0,0,0
2/1/2022,Air/Vac - WR CV5R,D200,1962,1,1,0,0,0
2/1/2022,Air/Vac - WR CV6,D200,2827,1,1,0,0,0
2/1/2022,Air/Vac - WR CV6R,D200,49965,17,9,0,0,0
2/1/2022,Asepsis 21 Doctor’s Cart- 153740-002,D200,7032,3,1,0,0,0
2/1/2022,Asepsis 21 Duo Cart- 153740-003,D200,27454,9,3,0,0,0
2/1/2022,Asepsis 21 International Instrument Delivery Systems,D200,37928,9,3,1,16053,3
2/1/2022,Asepsis 21 Rear Delivery- KSRD-CM / CMA,D200,50992,24,5,0,0,0
2/1/2022,Asepsis 21 Traditional Instrument Delivery- 153600-010/ 011,D200,2460819,685,95,21,495462,131
2/1/2022,Assist Arms (9A615001),D100,0,60,1,0,0,0
2/1/2022,Cabinetry - Animal Health,D300,16202194,216798,207,30,1824655,30
2/1/2022,Casework - Medical,D100,46082743,122049,505,76,5669438,10136
2/1/2022,Client Side Chair,D300,46622,138,10,1,2984,6
2/1/2022,CMDT-60,D300,102570,12,10,1,8442,1
2/1/2022,CMDT-WS-45,D300,10016,1,1,0,0,0
2/1/2022,CMDT-WS-60,D300,40702,4,4,0,0,0
2/1/2022,CMWO,D300,22583,4,2,0,0,0
2/1/2022,CMWS,D300,138581,20,12,2,14650,2
2/1/2022,Containment Installation,D300,122702,5,5,1,23550,1
2/1/2022,C-STAT5,D300,38099,21,12,1,1799,1
2/1/2022,DC Generator - All Models,D300,4356,1,1,0,0,0
2/1/2022,Dental Casework - Artizan Expressions Operatory,D200,11187654,71025,218,43,2805195,181
2/1/2022,Dental Casework - Synthesis Operatory,D200,10574974,40573,228,42,2255265,83
2/1/2022,Dental Lighting - 255,D200,90137,37,9,2,17958,7
2/1/2022,Dental Operators Stool,D300,7911,15,3,0,0,0
2/1/2022,Dental Stools - Assistant's,D200,720060,1435,213,51,214429,457
2/1/2022,Dental Stools - Dentist's,D200,653917,1546,222,53,195432,485
2/1/2022,DR Sensor - All Models,D300,10663,1,1,0,0,0
2/1/2022,Elevance Chair Only- 153810-001,D200,1367842,203,32,4,201181,29
2/1/2022,Elevance Console Chair- 153810-002,D200,147559,22,5,2,56222,8
2/1/2022,Elevance Continental- 153800-020/021,D200,115935,12,5,1,39228,4
2/1/2022,Elevance LR Chair- 153810-003,D200,4576921,681,105,21,1000401,145
2/1/2022,Flat Top Surgery Table - All Models,D300,15496,7,4,0,0,0
2/1/2022,Flooring,D300,6174669,141,141,8,456066,8
2/1/2022,Halogen- Console Mount for Procenter Unit- 153818-004 /153818-005,D200,177216,140,1,0,0,0
2/1/2022,Halogen- LR for Procenter Unit- 153818-003,D200,4810,3,1,0,0,0
2/1/2022,Halogen- Wall Mounted Light,D200,6316,3,1,0,0,0
2/1/2022,HEINE BP G5 - M-000-09-230-166,D100,1450,34,2,0,0,0
2/1/2022,HEINE BP XXL - M-000-09-323-166,D100,1336,8,1,0,0,0
2/1/2022,HEINE Desktop - A-832-23-420-166,D100,21789,24,2,0,0,0
2/1/2022,HEINE Desktop - A-832-24-420-166,D100,32098,31,3,0,0,0
2/1/2022,HEINE Desktop - A-853-23-420-166,D100,9758,10,1,1,9758,10
2/1/2022,HEINE Desktop - A-853-24-420-166,D100,505484,500,24,1,10235,10
2/1/2022,HEINE Desktop - A-879-23-420-166,D100,16180,20,1,0,0,0
2/1/2022,HEINE System - A‐095-12-930‐166,D100,819743,765,22,2,46062,41
2/1/2022,HEINE System - A‐095-12‐931‐166,D100,472681,547,20,7,81402,89
2/1/2022,HEINE System - A‐095-12-932‐166,D100,94760,115,3,0,0,0
2/1/2022,HEINE Wall - A-095-12-204-166,D100,210617,285,16,0,0,0
2/1/2022,HEINE Wall - A-095-12-205-166,D100,17618,23,1,0,0,0
2/1/2022,HEINE Wall - A-095-12-208-166,D100,907042,1049,49,6,147575,167
2/1/2022,HEINE Wall - A-095-12-209-166,D100,267114,315,7,1,15602,17
2/1/2022,HEINE Wall - A-095-12-210,D100,75436,112,3,2,67612,100
2/1/2022,Imaging - EOIS 2D  w/Ceph,D200,34947,1,1,0,0,0
2/1/2022,Imaging - EOIS 2D Pan,D200,102412,5,5,2,43912,2
2/1/2022,Imaging - Preva,D200,2047577,630,117,26,529556,154
2/1/2022,Imaging - Preva Plus,D200,137708,15,3,1,36722,4
2/1/2022,Imaging - Sensor,D200,119221,18,6,1,27194,4
2/1/2022,Instrument Processing - M11,D100,342075,81,46,14,135674,28
2/1/2022,Instrument Processing - M11,D200,1285922,312,169,36,270786,61
2/1/2022,Instrument Processing - M3,D200,75233,21,17,0,0,0
2/1/2022,Instrument Processing - M9,D100,71712,21,15,2,6884,2
2/1/2022,Instrument Processing - M9,D200,467117,134,12,1,4473,1
2/1/2022,IQCart2 w/arm - 3 004 1000,D100,2923,3,1,1,2923,3
2/1/2022,IQecg - 4 000 0062,D100,1913917,512,91,22,280022,72
2/1/2022,IQvitals - 4 000 0500,D100,312067,183,8,0,0,0
2/1/2022,IQvitals - 4 000 0510,D100,6993214,2563,126,18,647289,231
2/1/2022,IQvitals - 4 000 0622,D100,8692,4,1,0,0,0
2/1/2022,IQvitals - 4 000 0624,D100,517317,146,9,0,0,0
2/1/2022,IQvitals - 4 000 0722,D100,525879,133,5,3,162800,37
2/1/2022,IQvitals - 4 000 0724,D100,2070778,517,39,5,228690,55
2/1/2022,IQVitals All Mount (3-009-0063),D100,33936,356,10,5,33936,106
2/1/2022,IQVitals Mobile Cart - 3 004 2000,D100,9349,25,3,1,7710,20
2/1/2022,LED- Cabinet Mounted Light- CBML-L,D200,135359,60,9,3,37468,16
2/1/2022,LED- Ceiling Mounted Light- CEML-L,D200,714552,305,49,5,74463,31
2/1/2022,LED- Elevance Console Light- 153901-001 / 006,D200,12680,6,1,1,12680,6
2/1/2022,LED- Elevance LR Light- 153901-002 / 007,D200,109170,52,11,2,21185,10
2/1/2022,LED- Elevance- Procenter Console Light- 153901-004 / 005,D200,4113,2,1,1,4113,2
2/1/2022,LED- Elevance- Procenter LR Light- 153901-003 / 008,D200,54503,27,3,0,0,0
2/1/2022,LED- Track Mounted Light TRML-L,D200,771347,273,40,13,293906,102
2/1/2022,LED- Ultra Console Light,D200,32225,15,3,0,0,0
2/1/2022,LED- Ultra LR Light- 153915-002 / 004,D200,793838,437,69,29,303992,166
2/1/2022,LED- Wall Mounted Light- WAML-L,D200,364099,159,22,7,114848,50
2/1/2022,Lift Tables - All Models,D300,139622,39,28,4,14678,4
2/1/2022,LoFlo,D300,1741,1,1,0,0,0
